Callers,10,Capacity,1
,FCFS 1,,,CF1,,,Greed1
chance,max,total,average,max,total,average,max,total,average
95,11837.0,700330.0,7003.3,8051.0,560167.0,5601.67,8041.0,559527.0,5595.27,


Callers,1000,Capacity,5
,FCFS 5,,,CF5,,,Greed5
chance,max,total,average,max,total,average,max,total,average
5,73595.0,3.7234479E7,37234.479,39514.0,1.9875023E7,19875.023,50712.0,2.9943125E7,29943.125,
10,93815.0,4.816381E7,48163.81,48430.0,3.1045316E7,31045.316,60004.0,3.899932E7,38999.32,
15,101324.0,5.1359593E7,51359.593,52245.0,3.4413526E7,34413.526,65343.0,4.166618E7,41666.18,
20,107983.0,5.4815896E7,54815.896,55839.0,3.6720988E7,36720.988,69933.0,4.3993734E7,43993.734,
25,108588.0,5.5183678E7,55183.678,59075.0,3.8646374E7,38646.374,70111.0,4.4049089E7,44049.089,
30,110480.0,5.6186179E7,56186.179,61333.0,4.0021053E7,40021.053,72132.0,4.5100325E7,45100.325,
35,109313.0,5.5939475E7,55939.475,60534.0,3.9484949E7,39484.949,71715.0,4.5261884E7,45261.884,
40,113073.0,5.7441712E7,57441.712,62906.0,4.1077009E7,41077.009,73105.0,4.5853578E7,45853.578,
45,110561.0,5.6925918E7,56925.918,61028.0,4.0306223E7,40306.223,72193.0,4.5022569E7,45022.569,
50,114084.0,5.7712698E7,57712.698,62030.0,4.0578754E7,40578.754,72727.0,4.5113456E7,45113.456,
55,113586.0,5.7996637E7,57996.637,63316.0,4.1295615E7,41295.615,73222.0,4.605367E7,46053.67,
60,112691.0,5.7529069E7,57529.069,62560.0,4.0889441E7,40889.441,73436.0,4.5456832E7,45456.832,
65,114736.0,5.7301607E7,57301.607,63461.0,4.1067323E7,41067.323,74051.0,4.5127512E7,45127.512,
70,114060.0,5.7930519E7,57930.519,64358.0,4.1803849E7,41803.849,73569.0,4.5617238E7,45617.238,
75,114886.0,5.8373706E7,58373.706,64780.0,4.1776167E7,41776.167,71895.0,4.4962455E7,44962.455,
80,114319.0,5.7714767E7,57714.767,64817.0,4.1658282E7,41658.282,73872.0,4.5209006E7,45209.006,
85,113908.0,5.8740838E7,58740.838,65111.0,4.2148981E7,42148.981,73584.0,4.5805359E7,45805.359,
90,114774.0,5.7746803E7,57746.803,65481.0,4.2118584E7,42118.584,75279.0,4.5704986E7,45704.986,
95,113218.0,5.7827409E7,57827.409,63314.0,4.1197178E7,41197.178,73299.0,4.5265102E7,45265.102,


Callers,10,Capacity,10
,FCFS 10,,,CF10,,,Greed10
chance,max,total,average,max,total,average,max,total,average
5,1918.0,17060.0,1706.0,1734.0,15538.0,1553.8,1757.0,16093.0,1609.3,
10,1992.0,16668.0,1666.8,1744.0,15085.0,1508.5,1948.0,15812.0,1581.2,
15,2079.0,17278.0,1727.8,1826.0,16188.0,1618.8,1894.0,16426.0,1642.6,
20,2109.0,17592.0,1759.2,1859.0,16334.0,1633.4,1846.0,16244.0,1624.4,
25,1957.0,17266.0,1726.6,1796.0,16017.0,1601.7,1797.0,16116.0,1611.6,
30,2139.0,18249.0,1824.9,1985.0,17361.0,1736.1,1987.0,17373.0,1737.3,
35,2271.0,18458.0,1845.8,1903.0,17243.0,1724.3,1831.0,16805.0,1680.5,
40,2099.0,18164.0,1816.4,1968.0,17014.0,1701.4,1968.0,17014.0,1701.4,
45,2336.0,17121.0,1712.1,2071.0,16505.0,1650.5,2075.0,16515.0,1651.5,
50,2003.0,18074.0,1807.4,1948.0,17250.0,1725.0,1943.0,17209.0,1720.9,
55,2341.0,18760.0,1876.0,2044.0,17705.0,1770.5,2044.0,17705.0,1770.5,
60,2383.0,20126.0,2012.6,2176.0,18634.0,1863.4,2186.0,18669.0,1866.9,
65,2429.0,18175.0,1817.5,2305.0,17652.0,1765.2,2305.0,17652.0,1765.2,
